epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,2238.61,1.08165,1.62735,0.72761,0.00852,0.58156,0.74441,0.67611,0.74188,0.4532,0.75381,0.64643,0.72795,0.46876,1.49552,2.23176,1.24418,0.01546,0,0.000732455,0.000732455,0.000732455
44,2289.16,1.1376,1.68078,0.76615,0.00882,0.60977,0.68036,0.66516,0.69699,0.42649,0.68366,0.66964,0.704,0.44439,1.50565,2.36821,1.28765,0.01524,0,0.00072095,0.00072095,0.00072095
45,2340.21,1.1374,1.63319,0.75958,0.00922,0.57561,0.7098,0.65714,0.71661,0.43956,0.71824,0.65179,0.71503,0.44813,1.49969,2.24712,1.25596,0.01527,0,0.000709301,0.000709301,0.000709301
46,2392.1,1.10847,1.62999,0.75895,0.00877,0.58633,0.73301,0.66429,0.71503,0.43268,0.71228,0.675,0.71303,0.44864,1.52449,2.26924,1.26057,0.01584,0,0.000697515,0.000697515,0.000697515
47,2443.18,1.10243,1.55634,0.75792,0.00831,0.61601,0.74737,0.62864,0.69278,0.42975,0.73887,0.6215,0.68554,0.42858,1.43667,2.23969,1.29491,0.01396,0,0.0006856,0.0006856,0.0006856
48,2493.56,1.11594,1.60345,0.74958,0.00847,0.57736,0.7399,0.68578,0.72338,0.43976,0.74322,0.6875,0.72298,0.44687,1.51642,2.26349,1.17713,0.0157,0,0.000673565,0.000673565,0.000673565
49,2544.14,1.08885,1.57539,0.7136,0.00845,0.56963,0.72216,0.68929,0.73827,0.4548,0.71891,0.68963,0.73403,0.46638,1.46683,2.2098,1.24327,0.01494,0,0.000661418,0.000661418,0.000661418
50,2594.89,1.10108,1.54307,0.69191,0.00848,0.54801,0.77513,0.65357,0.73666,0.45109,0.76284,0.64904,0.7216,0.45504,1.4844,2.31065,1.25097,0.01514,0,0.000649168,0.000649168,0.000649168
51,2645.63,1.05301,1.54806,0.69162,0.00811,0.52072,0.67274,0.69643,0.73082,0.44176,0.68092,0.69464,0.7195,0.4577,1.49429,2.28823,1.33024,0.01583,0,0.000636821,0.000636821,0.000636821
52,2696.52,1.08057,1.5618,0.71995,0.0085,0.55496,0.7643,0.68214,0.74358,0.44293,0.76053,0.67857,0.7287,0.45155,1.48331,2.28057,1.25818,0.01552,0,0.000624388,0.000624388,0.000624388
53,2747.96,1.04888,1.54671,0.68597,0.00805,0.55425,0.75251,0.67327,0.73414,0.44552,0.75047,0.6552,0.71996,0.45203,1.4754,2.26247,1.1895,0.01503,0,0.000611877,0.000611877,0.000611877
